25982
1962-12-12	buy-open	GE	4
1962-12-12	sell-high	GE	4
1962-12-14	buy-open	GE	4
1962-12-14	sell-high	GE	4
1962-12-27	buy-open	GE	4
1962-12-27	sell-high	GE	4
1963-01-03	buy-open	GE	5
1963-01-03	sell-high	GE	5
1963-01-08	buy-open	GE	5
1963-01-08	sell-high	GE	5
1963-01-10	buy-open	GE	5
1963-01-10	sell-high	GE	5
1963-01-18	buy-open	GE	5
1963-01-18	sell-high	GE	5
1963-01-21	buy-open	GE	5
1963-01-21	sell-high	GE	5
1963-01-23	buy-open	GE	5
1963-01-23	sell-high	GE	5
1963-01-31	buy-open	GE	5
1963-01-31	sell-high	GE	5
1963-02-05	buy-open	GE	5
1963-02-05	sell-high	GE	5
1963-02-13	buy-open	GE	5
1963-02-13	sell-high	GE	5
1963-02-15	buy-open	GE	5
1963-02-15	sell-high	GE	5
1963-02-27	buy-open	GE	5
1963-02-27	sell-high	GE	5
1963-03-01	buy-open	GE	6
1963-03-01	sell-high	GE	6
1963-03-07	buy-open	GE	6
1963-03-07	sell-high	GE	6
1963-03-13	buy-open	GE	6
1963-03-13	sell-high	GE	6
1963-03-15	buy-open	GE	6
1963-03-15	sell-high	GE	6
1963-03-20	buy-open	GE	6
1963-03-20	sell-high	GE	6
1963-03-26	buy-open	GE	6
1963-03-26	sell-high	GE	6
1963-03-27	buy-open	GE	6
1963-03-27	sell-high	GE	6
1963-03-29	buy-open	GE	6
1963-03-29	sell-high	GE	6
1963-04-04	buy-open	GE	6
1963-04-04	sell-high	GE	6
1963-04-05	buy-open	GE	6
1963-04-05	sell-high	GE	6
1963-04-08	buy-open	GE	6
1963-04-08	sell-high	GE	6
1963-04-09	buy-open	GE	6
1963-04-09	sell-high	GE	6
1963-04-15	buy-open	GE	6
1963-04-15	sell-high	GE	6
1963-04-17	buy-open	GE	6
1963-04-17	sell-high	GE	6
1963-04-19	buy-open	GE	6
1963-04-19	sell-high	GE	6
1963-04-22	buy-open	GE	6
1963-04-22	sell-high	GE	6
1963-04-23	buy-open	GE	6
1963-04-23	sell-high	GE	6
1963-05-01	buy-open	GE	7
1963-05-01	sell-high	GE	7
1963-05-02	buy-open	GE	7
1963-05-02	sell-high	GE	7
1963-05-06	buy-open	GE	7
1963-05-06	sell-high	GE	7
1963-05-08	buy-open	GE	7
1963-05-08	sell-high	GE	7
1963-05-14	buy-open	GE	7
1963-05-14	sell-high	GE	7
1963-05-15	buy-open	GE	7
1963-05-15	sell-high	GE	7
1963-05-17	buy-open	GE	7
1963-05-17	sell-high	GE	7
1963-05-21	buy-open	GE	7
1963-05-21	sell-high	GE	7
1963-05-23	buy-open	GE	7
1963-05-23	sell-high	GE	7
1963-05-24	buy-open	GE	7
1963-05-24	sell-high	GE	7
1963-05-28	buy-open	IBM	1
1963-05-28	sell-high	IBM	1
1963-05-29	buy-open	IBM	1
1963-05-29	sell-high	IBM	1
1963-05-31	buy-open	IBM	1
1963-05-31	sell-high	IBM	1
1963-06-04	buy-open	GE	7
1963-06-04	sell-high	GE	7
1963-06-07	buy-open	GE	7
1963-06-07	sell-high	GE	7
1963-06-11	buy-open	IBM	1
1963-06-11	sell-high	IBM	1
1963-06-12	buy-open	GE	8
1963-06-12	sell-high	GE	8
1963-06-18	buy-open	GE	8
1963-06-18	sell-high	GE	8
1963-06-19	buy-open	GE	8
1963-06-19	sell-high	GE	8
1963-06-20	buy-open	GE	8
1963-06-20	sell-high	GE	8
1963-06-21	buy-open	IBM	1
1963-06-21	sell-high	IBM	1
1963-06-25	buy-open	GE	8
1963-06-25	sell-high	GE	8
1963-06-28	buy-open	GE	9
1963-06-28	sell-high	GE	9
1963-07-02	buy-open	GE	9
1963-07-02	sell-high	GE	9
1963-07-03	buy-open	GE	9
1963-07-03	sell-high	GE	9
1963-07-05	buy-open	GE	9
1963-07-05	sell-high	GE	9
1963-07-09	buy-open	GE	9
1963-07-09	sell-high	GE	9
1963-07-10	buy-open	GE	9
1963-07-10	sell-high	GE	9
1963-07-16	buy-open	GE	9
1963-07-16	sell-high	GE	9
1963-07-17	buy-open	GE	9
1963-07-17	sell-high	GE	9
1963-07-18	buy-open	GE	9
1963-07-18	sell-high	GE	9
1963-07-24	buy-open	GE	10
1963-07-24	sell-high	GE	10
1963-07-25	buy-open	IBM	1
1963-07-25	sell-high	IBM	1
1963-07-26	buy-open	GE	10
1963-07-26	sell-high	GE	10
1963-07-29	buy-open	IBM	1
1963-07-29	sell-high	IBM	1
1963-07-30	buy-open	IBM	1
1963-07-30	sell-high	IBM	1
1963-08-02	buy-open	GE	10
1963-08-02	sell-high	GE	10
1963-08-05	buy-open	GE	10
1963-08-05	sell-high	GE	10
1963-08-06	buy-open	GE	10
1963-08-06	sell-high	GE	10
1963-08-08	buy-open	GE	10
1963-08-08	sell-high	GE	10
1963-08-12	buy-open	IBM	1
1963-08-12	sell-high	IBM	1
1963-08-13	buy-open	IBM	1
1963-08-13	sell-high	IBM	1
1963-08-14	buy-open	GE	10
1963-08-14	sell-high	GE	10
1963-08-21	buy-open	IBM	1
1963-08-21	sell-high	IBM	1
1963-08-26	buy-open	IBM	1
1963-08-26	sell-high	IBM	1
1963-08-28	buy-open	GE	11
1963-08-28	sell-high	GE	11
1963-09-03	buy-open	GE	11
1963-09-03	sell-high	GE	11
1963-09-04	buy-open	IBM	1
1963-09-04	sell-high	IBM	1
1963-09-06	buy-open	IBM	1
1963-09-06	sell-high	IBM	1
1963-09-09	buy-open	GE	11
1963-09-09	sell-high	GE	11
1963-09-10	buy-open	IBM	1
1963-09-10	sell-high	IBM	1
1963-09-11	buy-open	GE	11
1963-09-11	sell-high	GE	11
1963-09-13	buy-open	GE	11
1963-09-13	sell-high	GE	11
1963-09-17	buy-open	GE	11
1963-09-17	sell-high	GE	11
1963-09-19	buy-open	GE	12
1963-09-19	sell-high	GE	12
1963-09-20	buy-open	IBM	1
1963-09-20	sell-high	IBM	1
1963-09-24	buy-open	IBM	1
1963-09-24	sell-high	IBM	1
1963-09-27	buy-open	GE	12
1963-09-27	sell-high	GE	12
1963-10-01	buy-open	GE	12
1963-10-01	sell-high	GE	12
1963-10-03	buy-open	IBM	1
1963-10-03	sell-high	IBM	1
1963-10-04	buy-open	GE	13
1963-10-04	sell-high	GE	13
1963-10-08	buy-open	GE	13
1963-10-08	sell-high	GE	13
1963-10-11	buy-open	GE	13
1963-10-11	sell-high	GE	13
1963-10-14	buy-open	IBM	1
1963-10-14	sell-high	IBM	1
1963-10-15	buy-open	GE	13
1963-10-15	sell-high	GE	13
1963-10-16	buy-open	GE	14
1963-10-16	sell-high	GE	14
1963-10-17	buy-open	GE	14
1963-10-17	sell-high	GE	14
1963-10-23	buy-open	GE	14
1963-10-23	sell-high	GE	14
1963-10-24	buy-open	IBM	1
1963-10-24	sell-high	IBM	1
1963-10-25	buy-open	IBM	1
1963-10-25	sell-high	IBM	1
1963-10-28	buy-open	GE	14
1963-10-28	sell-high	GE	14
1963-10-29	buy-open	GE	14
1963-10-29	sell-high	GE	14
1963-10-31	buy-open	GE	14
1963-10-31	sell-high	GE	14
1963-11-04	buy-open	GE	15
1963-11-04	sell-high	GE	15
